Eng,Chi
Johannes Wildner,懷德納
Piano Concerto,鋼琴協奏曲
Paolo Giacometti,賈柯梅蒂
Thomas Oliemans,奧利文
Liederkreis,聲樂套曲
Dichterliebe,詩人之戀
Sechs Gesänge,六首歌曲
Sechs Gedichte und Requiem,六首歌曲和安魂曲
George Daugherty,都賀蒂
Jung-Ho Pak,朴正鎬
Sumi Jo,曹秀美
Joshua MacCluer,麥浩威
Rossini,羅西尼
Il Signor Bruschino Overture,《布魯基諾先生》序曲
Handel,韓德爾
Samson,《參孫》
Bajazet,《巴雅澤》
Aida,《阿依達》
Balfe,巴爾夫
The Bohemian GirI,《波希米亞女郎》
Donizetti,唐尼采弟
Bernstein,伯恩斯坦
Candide Overture,《憨第德》序曲
J. Strauss II,小約翰．史特勞斯
Die Fledermaus,《蝙蝠》
Lehár,里夏
Giuditta,《茱迪塔》
Saint-Saëns,聖桑
Samson et Dalila,《參孫與大利拉》
Vocalise,練聲曲
Tales of Hoffmann,《霍夫曼的故事》
Lea Salonga,莉亞．莎朗嘉
Charis Chan,陳樂恩
Wesley Fung,馮哲韜
Lee Shing,李昇
Raymond Wong,黃文顯
Jonathan Yang,楊雋
Anthony Chow,周永健
Rachel Hui,許申屠麗華
Lee Wai,李偉
Raymond Young,楊立門
Paloma So,蘇千尋
Catrina Yang,楊琳
Angela Yau,邱聖音
Shostakovich,蕭斯達高維契
Chamber Symphony,室樂交響曲(巴斯卡爾配器)
Serenade in B flat,降B大調小夜曲
K361,
Gran Partita,
Vladimir Ashkenazy,阿殊堅納西
Sol Gabetta,嘉貝蒂
Elgar,艾爾加
In the South (Alassio),在南方(阿拉索)
Mussorgsky,穆索斯基
Lang Lang,郎朗
Brahms,布拉姆斯
Capriccio Italien,意大利隨想曲
Prokofiev,浦羅哥菲夫
Stephan Rügamer,胡格瑪
Christopher Maltman,慕德曼
Valentina Farcas,法克絲
Jennifer Johnston,珍妮．莊思頓
Mark Adler,阿德勒
Maarten Koningsberger,克寧貝格
Bach,巴赫
St Matthew Passion,馬太受難曲
Andrew Grams,格林斯
Garrick Ohlsson,歐爾森
The Magic Flute,《魔笛》
Carlo Rizzi,利茲
Emanuel Ax,艾斯
Ravel,拉威爾
Daphnis et Chloe (complete ballet music),《達夫尼與克羅依》(全套芭蕾音樂)
Case Scaglione,斯卡利安
Korngold,康高特
Violin Concerto in D,D大調小提琴協奏曲
Ives,艾菲斯
Three Places in New England,新英格蘭三地
Yu Long,余隆
Patricia Kopatchinskaja,科帕欽卡雅
Romeo and Juliet Suites,《羅密歐與茱麗葉》組曲
Apollo Wong,黃日珩
Jun Markl,馬卻
Schubert,舒伯特
D.759,D.759
Unfinished,「未完成」
Piano Quartet no.1 in G minor,G小調第一鋼琴四重奏
Nicholas McGegan,麥克基根
Alexandra Gilbreath,吉爾布雷斯
Adam Levy,利維
Yuki Ip,葉葆菁
Mendelssohn,孟德爾遜
Overture,序曲
Three Motets,經文歌三首
Solomon Lau,Solomon Lau
James Lo,James Lo
Phoebe Tam,Phoebe Tam
Wilcox Leung,Wilcox Leung
Yik Long Lau,Yik Long Lau
Ernest Hui,Ernest Hui
Alan Tsang,Alan Tsang
Felix Shuen,Felix Shuen
Sanders Lau,Sanders Lau
Bob Chilcott,Bob Chilcott
St John Passion,St John Passion
Tsui Ying Fai,徐英輝
Kwok Kin Ming,郭健明
Kathy Lam,林家琦
Wong Ching Yin,黃正彥
Yeung Ka Wai,楊嘉惠
Tung Tsz Ching,董芷菁
Ma Wai Him,馬瑋謙
Shiu Pui Yee,邵珮儀
To Fung Lim,杜峰廉
arr. Peng Xiuwen),彭修文編）
"""Song of the Wusuli River"" (Concerto for Two Erhus)",《烏蘇里吟》(雙二胡協奏曲)
Song of the Tsou Tribe,鄒族之歌
Kuan Nai Chung,關迺忠
Wang Danhong,王丹紅
Splendorous Jiangnan,絢彩江南
Phoon Yew Tien,潘耀田
Chinese Music for All Seasons,華樂歷程音畫—春華秋樂
Sasha Boldachev,Sasha Boldachev
Louis Claude Daquin,Louis Spohr
Michail Glinka,Théodore Labarre
Théodore Labarre,Charles Gounod
Charles Gounod,J.S. Bach
J.S. Bach,Sergei Slonimsky
Toccata and Fugue in D minor (arr. Dobrohotov),Chechen Rhapsody
Sergei Slonimsky,Gabriel Fauré
Gabriel Fauré,Mikhail Mchedelov
Mikhail Mchedelov,Claude Debussy
Variations on Paganini Theme,Arabesque I
Claude Debussy,Alexander Boldachev
Arabesque I,"""Toccata"" and ""Impro..."""
Alexander Boldachev,Pyotr Ilyich Tchaikovsky
Pyotr Ilyich Tchaikovsky,
Pak Wing Fai,Pak Wing Fai
Swan Choi,Swan Choi
