Eng,Chi
Soundpocket,參展藝術家／機構（台灣）：
Liang Kan Yee Woo,台灣國際勞工協會＋陳素香
Evelyna,弗耐‧瓦旦
,吳耿禎
,阮金紅
Participating artists,周靈芝
organizations (TW):,
Taiwan International Workers Association+ Susan Chen,呼提克團隊－拉馬默提司／奇古切拉古
,侯淑姿
Baunay Watan,姚瑞中＋失落社會檔案室
Jam Wu,高雄市關懷台籍老兵文化協會
Nguyen Kim Hong,黃博志
Julie Chou,黑手那卡西工人樂隊
HOOTIKOR- Lamamotis,廖億美＋好多樣工作室
ChekuChelagu,劉國滄
Lulu Shur-tzy Hou,澎葉生＋蔡宛璇
Yao Jui-Chung + Lost Society Document (LSD),蔣耀賢／財團法人台灣金甘蔗影展協進會
Colonized Warring Taiwan Society,吳瑪悧＋竹圍工作室
Huang Po-Chih,
Black Hand Nakasi Worker's Band,蘇育賢
Yi-Mei Liao + Cultural Diversity Studio,觀樹教育基金會
Liu Kuo-Chang,
Yannick Dauby+Wanshuen Tsai,
Chang Yao Hsien,
Golden Sugarcane Film Festival Association,
Mali WU+Bamboo Curtain Studio,
Su Yu-Hsien,
Kuan-Shu Educational Foundation,
Frog King,
Huang Rui,
Dinh Q,
Ida Sze,施琪珊
Billy Chan,陳維
the Hong Kong Sea School,香港航海學校師生
Wo Yue-Kee,胡宇基
Chloe Ho,
Tang Ying Chi,鄧凝姿
Art Experience Gallery: Na Wei (Beijing),
Shih Yung Chun (Taiwan),
Nadav Kander,Nadav Kander，蔣鵬奕 及 Noh Suntag
Jiang Pengyi and Noh Suntag,
Artistic collaborators:Department of Design Caritas Bianchi College of Careers,創意伙伴：明愛白英奇專業學校設計學系
Hong Kong Design Insititue,香港知專設計學院
School of Design,香港理工大學設計學院
The Hong Kong Polytechnic University,
A Hai,洪志倫
Chen Wenling,阿海
Qiu Zhijie,陳文令
Tai Xiangzhou and Zhang Yirong,邱志傑
Hong Ji Yoon,泰祥洲
Halley Cheng,張藝蓉
Chau Shik Hung,鄭哈雷
Kwok Mang Ho (Frog King),陳佩玲
Tsang Chui Mei,巢錫雄
Wong Sau Ching and Wong Shun Kit,郭孟浩
Peggy Chan Pui Leng,曾翠薇
,王守清
,王純杰
Ayumi,
100 exhibitors from 19 countries around the world,
Hong Ling,洪凌
Ray Chan,
Gabriel Leung,
Stephen Wong,
Au Hoi Lam,區凱琳
Sonya Fu,傅敏兒
JonOne,
Chan Sun,
Irene Chan(Hikoko Ito),
VASS,
Visual Arts Student Society,
has gathered 12 groups of students and alumni,
