Eng,Chi
Su Dongmei,蘇冬梅
Deng Lin,鄧林
Li Han,李涵
Su Ya Fei,蘇婭菲
Pu Bu Yong Cuo,普布永措
Kennex Chan,陳少鈺
Kam Ling Tai,金玲娣
Wong Fai,黃暉
Hung Tjoe Ping,洪袓冰
Tsang Hoi Shan,曾海珊
Lutz Forster,翩娜．包殊
Insoo Lee,李仁秀
Jinwook Ryu,柳振昱
Sujata Goel,蘇亞塔‧戈爾
Xie Xin,謝欣
Gunilla Heilborn,古尼拉‧海爾布隆
Jacky Yu,餘仁華
,楊宜瑄博士
Yang Liping,楊麗萍
Jacky Yu,余仁華
DoDo Lau,劉惠珊
Eric Vu-an,艾力．費安
Luciano Cannito,路斯安諾．加里圖
MARIUS PETIPA & VAKHTANG CHABUKIANI FIVE MOVEMENTS,佩蒂巴及華赫坦查布奇安尼 FIVE MOVEMENTS
,卓瑪伊羅
Jorma Elo,卓瑪‧依羅
Cliff Huen Tin Yeung,
Sang Jijia,桑吉加
Carman Li,李嘉雯
Jasper Lai,黎貴諾
Winnie Leung,梁思穎
Ming Pak,白濰銘
Megan Ha Youngmi,
Zhang Xiao Xiong,張曉雄
Coral Lee,李以珊
Helga Fung,馮曉嘉
Cindy Wong,王瑤
Michelle Chan,陳韻樂
Marius Petipa and Alexander Gorsky,佩蒂巴及阿歷山大．葛斯基
Wang Xin Peng,王新鵬
,黃晶
,陳起馨
,莊陳波
,陳少鈺
,何皓斐
,陳俊
,李佩佩
,陳順儀
,周曉雯
,丁平
Shirley Lok,樂知靄
Wim Vandekeybus,溫．范德基伯斯
Gabbie Chan,陳曉玲
Serenade George Balanchine © The George Balanchine Trust/ Castrati Nacho Duato/ Swan Lake Act III NATALIA CONUS,《小夜曲》George Balanchine © The George Balanchine Trust /《卡薩迪》 納曹．杜亞陶/《天鵝湖》 第三幕 娜塔莉婭．康納斯   (原編舞  佩蒂巴)
after Marius Petipa,
Felix Chen Lei,陳磊
Kukli Wong,黃菊莉
Nana Zhao,趙娜
Winds Fung,劉兆豐
,Nick Roux
,Alice Dixon
,Caroline Meaden
,Simon Ellis
,Sam Fox
,Deborah Kelly
,Zoe Scoglio
Jessica Burrows & Sarah Ye,Jessica Burrows & Sarah Ye
Ho Hsiao-mei,何曉玫
Chang Lan-yun,張藍勻
Lee Chen-wei,李貞葳
Pak Wei-ming,白濰銘
WONG Pik-kei,黃碧琪
Nick Power,Nick Power
Fong Sum Wun Mabel (FMBA),方心媛
Lindsey McAlister,麥蓮茜
The cast,眾表演者
devised by the performers,眾表演者
Kirsten Ho,賀倩瑩
Siobhan Dumigan,鄧悠韻
,Jun Mabaquiao
Christine He,Christine He
Mandy Petty,敏迪貝蒂
Huynh ERIC,黃思豐
Chau Winky,仇詠詩
Winky Chau/ Kwok Wing Yan/ Lam Wing Yi/ Alice Cheng/ Leung Yee Tak/ Emily Chan/ Sue So/ Catherine Chan/ Helga Fung/ Charlotte Ho/ June Chung/ Zenith Tse/ Miki Leung,
Lee Wilson & Mirabelle Wouters @ Branch Nebula,
,溫愷
,劉碧琪
Huang Yu,黃茹
Tam Fong Wai,譚芳慧
Eunice,呂嘉盈
Apple Lai,黃蒨亭
Kitty Wong,莫斯穎
Story Mok,李泳深
Winsome Lee,黃寶蕾
Wong Po-lui,朱佩鳳
Anita Chu. Sung Pui Yan,宋佩欣
,陳珍妮
,鄧皓琪
Ina Christel Johannessen (Norway),伊娜．約翰內森 (挪威)
Laura Aris/EMBER,羅雅詩
Elyse Lai,黎銥婷
Pandora Sin,冼穎欣
Rosalind Newman,廖朗莎
Chen Lei,陳磊
Chen Jun,陳俊
Li Jiabo,李嘉博
Jonathan Spigner,尊尼芬．斯納
Li Yi Ran,李怡燃
Lai Siu Ling,劉佩雄
Ms Ulian Chun,秦懿欣女士
All Artists involved,所有參與藝術家
Lo Wai-luk,盧偉力
Kae Ishimoto,石本華江
Michel Fokine,米高霍根
"\""Marius Petipa",佩蒂巴阿歷山大．葛斯基
Marius Petipa,"\""佩蒂巴阿歷山大．葛斯基"
Chung Wing Yin Ivy,鍾詠賢
,杜紹樑
,方秀蓮
,杜盈瑩
,周家欣
,蕭婷妤
,林洛鍶
,鍾宛靜
,何皓寧
,譚絮鴻
Lu Yonghua,陸永華
Xiao Shiyun,肖時運
Wu Fentian,吳分田
Yang Rong,楊蓉
Lu Jiangyong,陸江勇
Lan Heng,蘭衡
Hu Zhengxing,胡征興
Liang Jian,梁劍
Liang Hua,梁歡
Shi Chuanjie,石川潔
Yang Guangquan,楊光全
Ulian Chun,秦懿欣
Willy Tsao,
Peggy Lam/ Shirley Lok/Nguyen Ngoc Anh,
Hoi Chiu,
Allen Lam,
,陶冶
,伍國柱
,胡恩威
,楊雲濤
,近藤良平
,王瑤
,陳韻樂
Becky Lau  / Lena Lin,劉碧琪 / 林昭蓉
Mr. Chow Man Fai,鄒文輝先生
Mrs Joan Campbell,鍾金寶
Trista Cheung,張彩婉
Apple Loi,呂  嘉盈
Wong Pik   Kei,黃碧琪
Fiona Zhou,周芳
,馮樂恒
Dorothy Shek,石嘉琁
Huang Ju,黃茹
Christopher Wheeldon,克里斯多夫．惠爾頓
Ángel Rojas,安海爾．羅哈斯
Alexei Ratmansky,阿列克塞．羅曼斯基
George Balanchine,巴蘭欽
Edward Lam,林奕華
Victor Fung,馮樂恒
Li De,李德
Ata Wong,黃俊達
Tracy Wong,黃翠絲
