title,organization/people
荃灣各界慶祝荃灣新市鎮金禧活動籌備委員會,
香港舞蹈團—外展及教育部,Organization
香港新加坡華中校友會,Organization
新加坡導引養生功協會,Organization
香港,Organization
印尼東南亞舞蹈團,Organization
新加坡基督教會復興堂,
印尼國家體育部,
王振芳紀念獎學金,
王仁曼芭蕾舞學校,Organization
苡蔓体育舞蹈學會,Organization
作動,
錢秀蓮舞蹈團暨舞林,Organization
壹一制作有限公司,Organization
梁偉傑,
屯門舞蹈團,Organization
港台文化合作委員會與香港經濟貿易文化辦事處,Organization
古舞團,Organization
Butoh Butoh Festival,
嘉道理農場暨植物園,
Et Aussi Dance,
八鄉綠色生活社,Organization
荃灣區議會文康體活動委員會,Organization
荃灣各界慶祝荃灣新市鎭金禧籌委員會,
澳大利亞東方歌舞團,Organization
四川省涼山彝族自治州歌舞團,Organization
荃灣各界慶祝國慶籌委會,
內蒙古大學藝術學院,Organization
荃灣各界慶回歸委員會,
元朗舞蹈團,Organization
法國駐香港及澳門總領事館,Organization
高飛舞蹈團,Organization
卡露蓮 卡爾遜 / 泰羅 沙里寧,
皮亞．域 高,
波爾多國家歌劇院芭蕾舞團,Organization
香港藝穗民化協會,Organization
兩口米,
租師父,
松島誠,
橋本禮,
香港藝術節協會,Organization
daniel k,
李善娥,
蘇海莉米切蓮,
郭曉靈,
紐約市芭蕾舞團,Organization
翩娜  包殊烏珀塔爾舞蹈劇場,Organization
莫米克斯舞蹈奇藝坊,Organization
北京當代芭蕾舞團,Organization
漢堡芭蕾舞團,Organization
里昂歌劇院芭蕾舞團,Organization
徹卡奧維,
京都祇園藝妓,
胡頌威,
許俊傑,
李健偉,
蒙地卡羅芭蕾舞團,Organization
Kentaro!!,
周書毅,
艾可蘇布利陽托,
方家諾,
康文署 — 觀眾拓展辦事處,
康樂及文化事務署 — 觀眾拓展辦事處,
劉天明,
李智偉,
何德貞,
簡寧漢舞蹈團,Organization
盤偉信,
黃美玉,
延邊歌舞團,Organization
DV8形體劇場,Organization
楊春江,
